dBm,theta
-37.302169589895485,209
-36.28668476051011,210
-35.011071886333454,211
-34.62300995740398,212
-33.48305823643639,213
-33.06412068474657,214
-32.05483530071922,215
-32.021590217597335,216
-30.988845708347384,217
-31.290400052979194,218
-30.337511162360585,219
-29.927605690314444,220
-29.597611201195186,221
-29.526023580223388,222
-29.215189518593668,223
-28.956855807998203,224
-27.99339273708118,225
-27.773795482106088,226
-27.18474976372194,227
-26.815408256299875,228
-26.461094116383016,229
-26.088878307559412,230
-25.950165096179482,231
-24.95415934390543,232
-24.901954223348213,233
-24.337768692440967,234
-24.099065286460117,235
-23.838438661495985,236
-23.53950225031045,237
-23.34625739759351,238
-23.178353038558882,239
-23.017835550132816,240
-23.070208544978755,241
-22.215786586852197,242
-22.38069980882637,243
-22.324316435100208,244
-22.240058994280503,245
-22.227979629628642,246
-22.21998050783469,247
-22.369819618524915,248
-22.39983062202124,249
-22.53665610620792,250
-22.50404689150706,251
-22.438790675944645,252
-23.17549191965864,253
-23.366350062828943,254
-23.528217044238836,255
-23.656490254095623,256
-23.808798774992276,257
-24.007935208383415,258
-24.16872286422025,259
-24.53476936053844,260
-24.9257158089001,261
-25.2770082875456,262
-25.589667435155356,263
-26.463103614134525,264
-26.58687374639338,265
-26.232741314690756,266
-25.316924043849127,267
-24.66754339387323,268
-23.393083957796513,269
-23.034061012999913,270
-22.078628912526433,271
-21.86066360497381,272
-21.38340180929901,273
-21.05303989076051,274
-20.52633329351835,275
-20.042577109485435,276
-19.887458559370565,277
-18.762489604058935,278
-18.277044104197252,279
-17.59062450641236,280
-16.821878618301255,281
-15.924573017758334,282
-15.106132440118635,283
-14.133733790762214,284
-13.268980296163889,285
-12.537296471736028,286
-11.876925494558598,287
-11.19262963411964,288
-10.577545753060761,289
-9.873137116094668,290
-9.495829843381692,291
-9.044740469927916,292
-8.34600664608952,293
-7.704687936305376,294
-6.918756327796906,295
-6.523660537373544,296
-5.977510283220369,297
-5.550649607117961,298
-4.988336091668948,299
-3.901896369806785,300
-3.820243654378565,301
-3.3038712117708684,302
-2.877936640478694,303
-2.593243866053058,304
-2.3371067846597313,305
-2.0386494894416245,306
-1.297114858631943,307
-1.3389023663788677,308
-1.373419750047013,309
-1.2689966568423046,310
-1.208923342143649,311
-1.1778667134679068,312
-1.1354340191639452,313
-1.145847128193239,314
-1.1430644448049563,315
-1.1613651682327628,316
-1.1666778794710595,317
-1.1694545472966666,318
-1.184709784223834,319
-1.178955082086496,320
-1.194175956229003,321
-1.172274101718692,322
-1.1418881299014814,323
-1.192150686055129,324
-1.2813136143051835,325
-1.3913507019800662,326
-1.5534207116084175,327
-1.407342753611971,328
-2.063405640531137,329
-2.2465004709543877,330
