dBm,theta
-26.63336491963443,194
-26.945867910167237,195
-27.158540150120814,196
-27.21511524665786,197
-27.629181131323264,198
-28.002074680772225,199
-28.100162015063674,200
-28.5666351727416,201
-29.16888092741501,202
-30.062156665806796,203
-30.934354422129616,204
-31.4689580156779,205
-32.19882865621469,206
-32.329759843865276,207
-33.10736667414206,208
-33.039428087232906,209
-32.683905202359085,210
-32.83798931333631,211
-32.69852161219133,212
-32.101236718714546,213
-31.725804358891352,214
-31.421771229026035,215
-31.379870475061992,216
-30.77617067638606,217
-30.385455973209844,218
-30.057069177660708,219
-29.838501977946535,220
-29.58573486019801,221
-29.325881435860474,222
-29.171512327102846,223
-29.025535642680524,224
-28.99973340789812,225
-29.338959195473883,226
-29.124255606356655,227
-29.752879488957525,228
-30.197720503791388,229
-30.536239302742942,230
-30.65163206108322,231
-31.23720644429362,232
-31.527923378386987,233
-32.411936294882366,234
-32.81550565180474,235
-33.47234321946107,236
-34.16980837926765,237
-35.028364330450614,238
-35.50650157940815,239
-36.01496548559609,240
-36.108662287392846,241
-36.694788552411524,242
-37.62405249390568,243
-37.838382726988044,244
-37.64176307537922,245
-37.794241968198676,246
-37.87153463032929,247
-36.47154302257958,248
-36.36386869697297,249
-35.369707911999626,250
-34.822317050736274,251
-34.45512119995976,252
-33.78499694302826,253
-32.83406982965826,254
-32.91220093263493,255
-32.44454619573003,256
-31.794749229606623,257
-31.30584497189885,258
-31.104816599482476,259
-30.866425423293933,260
-30.69399501038319,261
-29.946173697155864,262
-29.79647372530875,263
-29.388823630478953,264
-29.11374648717453,265
-28.690208027147214,266
-28.5475652246257,267
-28.224303696856047,268
-27.722579882611598,269
-27.351840705443045,270
-26.931689819365488,271
-26.508267066857897,272
-26.134172473310457,273
-25.903337101656398,274
-25.87285069598962,275
-24.921516119257724,276
-25.04207038012438,277
-24.280533841509374,278
-23.96662995661339,279
-23.875923732767127,280
-23.76944027697929,281
-23.542056256737446,282
-23.238521962237897,283
-23.19358128949365,284
-22.875989929373354,285
-23.094454374949322,286
-23.16127100449817,287
-22.185787638423363,288
-22.30253476970134,289
-22.36623655876246,290
-22.348556554995866,291
-22.340646602016626,292
-22.336315898504814,293
-22.482081365301028,294
-22.435263043276308,295
-22.356920148913296,296
-22.356893870263463,297
-22.3758105300277,298
-23.076960702560335,299
-23.342157676643872,300
-23.471290153176604,301
-23.656232015829858,302
-23.71006869573729,303
-23.92069831550046,304
-23.982318353557076,305
-24.119221041369286,306
-24.37938579004536,307
-24.63795503667548,308
-25.05971077522853,309
-25.499560526166604,310
-25.57559167291663,311
-25.47577336414546,312
-26.44358422982863,313
-26.188099668310286,314
-26.2032827404717,315
-25.977769003258885,316
-25.81363152603079,317
-24.620919784306373,318
-24.3144270934702,319
-23.399794417611446,320
-22.851468284047407,321
-21.839890934218346,322
-21.822654845550133,323
-21.501322217543034,324
-21.074076358397875,325
-20.7675065568816,326
-20.53137285679376,327
-20.08576413248096,328
-19.864893614515275,329
-19.153090018409877,330
-18.74325253405317,331
-18.47183568811728,332
-17.498557905635955,333
-16.865684420085124,334
-16.092166427819258,335
-15.32363924300519,336
-14.786267488421814,337
-13.723473378023932,338
-12.736869401300815,339
-12.434045957999302,340
-12.046649735567414,341
-11.542173368090502,342
-10.958234428294695,343
-9.971522293880412,344
-9.795773844001928,345
-9.458475231326773,346
-8.992462813090896,347
-8.47540366251652,348
-7.841330507539567,349
-6.8825983107116215,350
-6.787362857448379,351
-6.382526573890949,352
-5.872287762051869,353
-5.248428522899303,354
-4.9582498607630185,355
-4.030032764236033,356
-3.738422743804364,357
-3.3598154907870494,358
-3.036480358263148,359
-2.7984303744100174,360
